INGRESO_BIN,CALIF_FINAL,EDAD,N_INTENTOS,TIEMPO_DESDE_EGRESO,CALIF_PROMEDIO_HIST,HA_INGRESADO_ANTES,PUNTAJE_MINEDU,ES_MIGRANTE,NIVEL_DIFICULTAD,COLEGIO_TIPO_GESTION,EGRESADO_RECIENTE_BIN,FACULTAD_COD,SEXO_COD,ANIO_POSTULA,ASISTENCIA,PARCIAL_1,PARCIAL_2
0,1.305,19.0,1,4,0.0,0,7.9,0,3,0,0,11,1,2018,0.81,10.6,10.6
0,9.701,17.0,1,1,0.0,0,7.1,0,3,0,1,11,1,2023,1.0,9.1,9.8
0,11.007,16.0,1,1,0.0,0,6.900994407311418,1,3,0,1,11,1,2024,0.56,11.0,11.6
1,13.325,17.0,2,1,11.007000000000001,0,6.900994407311418,1,4,0,1,3,1,2025,0.95,17.3,16.8
0,6.268,18.0,1,1,0.0,0,7.1,0,3,0,1,11,1,2023,0.9,8.8,9.3
0,10.994,19.0,2,2,6.268000000000001,0,7.1,0,3,0,0,11,1,2024,0.81,8.8,8.6
0,13.031,20.0,3,3,8.631,0,7.1,0,3,0,0,11,1,2025,0.62,13.3,13.0
0,0.266,21.0,1,5,0.0,0,7.9,0,3,0,0,11,1,2021,0.8,11.3,10.6
0,7.53,21.0,1,1,0.0,0,6.7,0,3,0,1,11,1,2020,1.0,8.2,7.5
0,6.137,18.0,1,1,0.0,0,7.9,1,3,0,1,11,1,2017,0.84,10.8,11.0
0,0.741,19.0,2,2,6.137,0,6.900994407311418,0,3,0,0,11,1,2018,1.0,8.2,6.7
0,0.653,20.0,1,4,0.0,0,4.3,1,3,1,0,11,1,2021,0.9,8.2,6.7
0,8.207,21.0,2,5,0.6530000000000005,0,4.3,1,3,1,0,11,0,2022,0.71,10.0,9.8
0,0.275,17.0,1,1,0.0,0,6.85,0,3,0,1,11,1,2018,0.8,6.9,6.1
0,0.0,19.0,1,4,0.0,0,6.85,0,3,0,0,11,1,2021,1.0,10.2,9.5
0,6.713,17.0,1,1,0.0,0,7.0,0,3,0,1,11,0,2021,0.76,7.1,6.4
1,15.103,20.0,1,4,0.0,0,7.9,0,5,0,0,4,1,2017,0.99,17.7,18.6
0,9.516,18.0,1,1,0.0,0,6.900994407311418,1,3,0,1,11,1,2019,0.87,13.1,14.8
0,0.0,20.0,2,3,9.516,0,6.900994407311418,1,3,0,0,11,1,2021,0.78,8.8,7.9
0,3.973,18.0,1,1,0.0,0,6.85,0,3,0,1,11,1,2018,0.98,9.6,10.4
0,5.716,19.0,2,2,3.973,0,6.85,0,3,0,0,11,1,2019,0.73,5.8,6.1
0,5.751,19.0,3,2,4.8445,0,6.85,0,3,0,0,11,1,2019,0.73,8.0,7.3
0,5.855,20.0,4,1,5.146666666666667,0,6.7,0,3,0,1,11,1,2020,0.86,9.7,9.9
0,5.843,18.0,1,2,0.0,0,6.900994407311418,0,3,0,0,11,0,2017,0.87,6.5,5.2
0,12.289,18.0,2,2,5.842999999999998,0,6.900994407311418,0,3,0,0,11,0,2017,0.92,10.3,10.1
0,12.046,19.0,3,3,9.065999999999999,0,6.900994407311418,0,3,0,0,11,0,2018,0.72,7.9,6.9
0,14.131,20.0,4,4,10.059333333333333,0,6.900994407311418,0,3,0,0,11,0,2019,0.7,8.7,8.3
0,15.115,20.0,5,4,11.07725,0,6.900994407311418,0,3,0,0,11,0,2019,1.0,7.9,8.0
0,12.805,21.0,6,5,11.8848,0,6.900994407311418,0,3,0,0,11,0,2020,0.93,14.0,15.5
0,12.868,20.0,7,4,12.038166666666667,0,6.900994407311418,0,3,0,0,11,1,2020,0.58,9.4,9.4
0,11.133,21.0,1,4,0.0,0,7.0,0,3,1,0,11,1,2024,0.63,6.8,5.8
0,8.357,19.0,1,2,0.0,0,3.8,1,3,1,0,11,1,2024,0.67,11.5,11.5
0,8.129,19.0,2,2,8.356999999999998,0,3.8,1,3,0,0,11,1,2024,0.97,6.3,4.3
0,13.565,20.0,3,3,8.242999999999999,0,3.8,1,3,1,0,11,1,2025,0.81,9.9,10.8
0,2.293,21.0,1,4,0.0,0,6.4,0,3,0,0,11,1,2022,0.67,4.5,3.7
1,14.689,18.0,1,1,0.0,0,7.9,1,2,0,1,7,1,2017,0.95,14.0,15.9
0,0.0,18.0,1,1,0.0,0,7.1499999999999995,0,3,0,1,11,1,2024,0.87,9.9,10.8
0,2.831,21.0,1,3,0.0,0,7.9,0,3,0,0,11,1,2016,1.0,11.2,11.4
0,6.578,18.0,1,1,0.0,0,7.0,0,3,0,1,11,1,2021,0.95,9.8,9.5
0,8.09,19.0,2,2,6.577999999999999,0,7.0,0,3,0,0,11,1,2022,0.91,9.1,8.7
1,14.14,19.0,1,3,0.0,0,7.9,0,4,0,0,5,1,2019,0.99,19.5,19.1
1,15.244,21.0,1,5,0.0,0,6.900994407311418,1,5,0,0,1,1,2017,1.0,18.8,18.8
0,6.688,18.0,1,2,0.0,0,1.3,1,3,0,0,11,1,2019,0.54,7.6,7.2
